Gene;HumanMilk;Fruit_Juice;L.lactis_cremoris_JS102;S. thermophilus;Piperacillin-tazobactam;Ciprofloxacin;Tetracycline;E.coli_MRS;1/4MRS+3/4BHI_37C;1/4MRS+3/4BHI_43C;wo_Glutamate;woFe;GTP;MRS_30C;MRS_43C;0.5g_Cysteine;pABA
argH;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS03525;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS03500;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS03505;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
carA;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS07505;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS10070;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS05535;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS10075;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
argF;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
arcC;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
arcA;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS08635;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
gtfA;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS06155;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS09705;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS04700;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS04695;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
LMB90_RS06160;1;1;1;1;1;0;1;1;1;1;0;0;0;1;1;1;0
