Geneid,LAC_001,LAC_002,LAC_003,LAC_004,LAC_009,LAC_010,LAC_011,LAC_012,LAC_015,LAC_016,LAC_017,LAC_018,LAC_019,LAC_020,LAC_021,LAC_022,LAC_023,LAC_024,LAC_025,LAC_026,LAC_027,LAC_028,LAC_029,LAC_030,LAC_031,LAC_032,LAC_033,LAC_034,LAC_035,LAC_046,LAC_047,LAC_048,LAC_049,LAC_050,LAC_051,LAC_052,LAC_053,LAC_054,LAC_055,LAC_056,LAC_057,LAC_062,LAC_063,LAC_064,LAC_065,LAC_066,LAC_067,LAC_068,LAC_069,LAC_070,LAC_071,LAC_072,LAC_073,LAC_074,LAC_075,LAC_076,LAC_077,LAC_078,LAC_079,LAC_080,LAC_081,LAC_084,LAC_085,LAC_086,LAC_087,LAC_089,LAC_090,LAC_093,LAC_094,LAC_095,LAC_096,LAC_099,LAC_100,LAC_101,LAC_102,LAC_103,LAC_104,LAC_105,LAC_106,LAC_107,LAC_108,LAC_111,LAC_112,LAC_115,LAC_116,LAC_121,LAC_122,LAC_129,LAC_130,LAC_131,LAC_132,LAC_133,LAC_134,LAC_135,LAC_136,LAC_137,LAC_138,LAC_139,LAC_140,LAC_141,LAC_142,LAC_143,LAC_144,LAC_145,LAC_146,LAC_147,LAC_148,LAC_149,LAC_150,LAC_151,LAC_152,LAC_155,LAC_156,LAC_157,LAC_158,LAC_159,LAC_160
LMB90_RS00295,8.693487188,8.622671585,11.70419013,12.34778631,8.139639733,8.131993385,8.177077866,7.711915811,10.76559332,10.65040005,11.30400505,11.50780615,12.26087276,11.85467053,12.36264171,11.37590849,11.43705447,9.789361372,9.948880354,9.833207076,9.882227303,10.18122013,10.23486393,10.12128934,10.2416771,10.27170331,9.900108938,10.32789588,10.01797932,9.918038328,9.921842505,9.812539884,9.865628858,10.49899014,10.39792478,10.4625926,10.45040628,10.63388797,11.05383252,10.65378902,11.08024304,9.804618308,9.945705308,9.030971392,8.801536339,11.06034975,10.6533924,11.28755985,11.33956361,10.23638103,10.17127379,9.366240667,9.439075564,9.879688748,9.992607443,10.67590505,10.79021303,10.86384813,10.54510813,11.65983662,11.39637173,10.32562002,10.2930804,7.911045219,7.639806359,8.686532565,8.467216863,8.469652012,8.382625629,8.838596807,8.869651661,9.121864467,8.674650908,9.510479174,9.63488796,9.226371783,9.454526156,8.250990034,8.488397427,8.766823721,8.898891347,8.759677204,8.710802538,8.818467828,8.635680792,11.03592066,10.93167341,10.16852405,10.52295785,11.76776579,11.79840739,10.13143151,10.00925734,10.39590981,10.24353803,10.12404088,10.03535188,10.67854676,10.768916,10.70668834,10.54128428,10.04401526,10.04585241,9.085492011,9.308344718,10.77625341,10.576702,12.22942156,11.8800695,10.51632189,10.47079508,11.01012835,10.88504012,12.06792734,11.03185787,9.968922329,9.922845441
LMB90_RS00300,5.231385594,5.504477913,7.773917357,8.30211699,5.205602265,5.248630561,4.958037963,4.773098589,7.43646053,7.217331935,6.67011135,7.027419319,8.405743271,8.077972238,8.5153812,7.713288022,7.831077017,6.380659388,6.357299835,6.418665776,6.52450576,6.214941654,6.096072284,6.314921532,6.150033711,6.206167421,6.220380751,6.23521002,6.272308906,6.220036657,6.462398301,6.352115774,6.481636122,7.216903726,7.697436559,7.248270391,7.808415289,7.038053194,7.125130336,7.027771376,7.137851561,6.520315937,6.404827776,6.325341202,5.995454194,7.245799621,6.545406185,6.998357691,6.766252527,6.523997258,6.580108388,6.997892242,6.786118822,6.797013771,6.547047697,7.275757937,7.22421619,7.20815149,7.4033824,8.212982599,7.983567466,6.9952517,6.911564481,5.281162254,4.746894547,6.360077609,5.780971012,6.646004724,6.635755246,6.735182949,6.785624054,6.833707756,6.731673409,6.963937659,6.982054658,5.801670518,6.153503161,5.532716058,5.650114274,6.649031383,6.777264044,6.659214832,6.522101032,6.175973361,6.072788323,7.703944689,7.62295069,6.959750058,7.206007394,8.741692249,8.459778202,6.589865414,6.395517,7.244644449,7.170583486,6.642188975,6.463551433,7.18150344,7.402721025,6.839969516,6.78745891,7.178737605,7.08272893,6.441802581,6.458802189,6.776063388,6.583657941,9.049701794,8.464695372,7.493612387,7.391460748,7.094219196,7.078974447,8.652460015,7.453745346,6.682942511,6.540894218
LMB90_RS00305,6.703253149,6.608573953,8.925772299,9.250114212,6.351599467,6.956644811,6.505935763,6.390657469,8.465336565,8.314779326,7.913157158,8.155504639,9.714767524,9.114573587,9.625378351,9.13452037,9.121970526,7.044199858,7.299499138,7.008974411,7.301070733,7.483853224,7.582474501,7.48698195,7.493960846,7.381036395,7.677054933,7.349178219,7.616781633,7.832072189,7.720282116,7.778273361,7.762459321,6.876740541,8.614280025,6.758041259,8.557857556,8.509138853,8.267474826,8.432649529,8.291740477,7.393679083,7.427119797,7.787022935,7.586529562,8.118474648,7.760389295,7.758438717,7.783664602,7.814040514,7.047181781,8.126600395,7.868746436,8.231720042,7.330432724,7.824116483,7.978707649,7.977214204,7.768301461,8.552336539,8.399984919,7.473664097,7.399671416,6.131389427,5.648756494,6.303971917,6.504249897,7.498659681,7.558175278,7.697224302,7.757464272,7.699709843,7.747073443,8.131672551,8.319900743,6.470010629,5.926542856,6.120168531,6.492493396,7.691037853,7.766541208,7.743781582,7.648043877,6.608758639,6.678772233,8.037869636,7.911064137,7.55857269,7.874110586,9.214462042,8.61638626,7.235890562,7.433680036,7.814488447,8.159828533,7.03038818,6.799624353,7.86632891,8.002848811,7.270839528,7.141660073,7.687806001,7.469253426,7.287039508,7.276480731,6.500413629,5.97090456,8.985997498,8.470525115,7.794796465,7.718588977,7.165321497,6.853346743,8.593502309,7.384198795,6.943837066,6.733321506
LMB90_RS00310,7.044631982,6.989558727,9.222367714,9.302449969,6.941043181,6.832678675,6.587789081,6.476451087,8.111776122,8.013705189,7.860369344,8.062631809,9.430346401,9.102905529,9.51350936,8.867610285,8.904351466,7.264203881,7.430374066,7.338911688,7.447836328,7.582479211,7.650897714,7.580215245,7.658644825,7.594339771,7.639882852,7.395875739,7.675478759,8.091484763,7.97036102,8.018444044,7.930833442,8.455925906,8.869983486,8.380461661,8.847756539,8.567889086,8.291466,8.505432417,8.20262793,7.603265231,7.777823088,7.937458755,7.907504302,8.220972654,7.820406598,7.90325374,7.957639519,7.867112964,7.549269103,8.438961193,8.28622519,8.368671527,7.788711012,7.98913883,8.046428023,7.985633061,7.94104337,8.694458125,8.168840803,7.705216459,7.738495021,7.138678628,6.703212122,7.238928116,6.905076876,8.160700071,8.190857546,8.288368501,8.287469898,8.382854311,8.328646344,8.362473906,8.496684772,6.359781649,6.509807783,6.889374607,7.176429847,8.358644175,8.298802058,8.332860579,8.393990629,7.311687183,7.261378191,8.622224856,8.313066052,7.926784596,8.184928392,9.675758854,9.086863655,7.799491972,7.588085946,8.352773719,8.46909041,7.703663381,7.343718362,8.435022634,8.458019767,7.588250973,7.596256871,8.089098713,7.963058569,7.963500262,7.989625944,7.018947342,6.887130925,9.754097308,8.900528998,8.466094988,8.16562041,7.463893365,7.416858423,9.128807852,7.861050278,7.703292595,7.472360544
LMB90_RS00315,7.039489145,7.247531014,9.03100431,9.255377546,6.642833069,6.846053871,6.634671157,6.587295387,8.355752339,8.199655099,8.03206005,8.132417134,9.346766251,9.004661943,9.466264308,8.894128568,8.954968866,7.609340347,7.833915983,7.685458024,7.828114471,7.561437265,7.741980894,7.726948963,7.766635437,7.751147448,7.922794598,7.674478714,7.911363638,7.929154318,8.016449812,8.108956336,7.98024456,7.936554797,8.934071927,8.005738796,8.951107912,8.517184573,8.307712135,8.567515354,8.360731405,7.993320437,7.943756463,7.891305959,7.847616779,8.236787868,7.87230848,8.129435699,7.898863254,7.784035092,7.608038635,8.420808152,8.326889316,8.214214715,7.781189757,8.189582522,8.2923263,8.356444655,8.221978128,8.912865763,8.301243217,8.173375323,8.16008732,7.424305916,6.768055825,7.19170346,6.983952849,8.191076574,8.133345121,8.225432152,8.286533012,8.391095492,8.408523925,8.382881404,8.514661816,6.409150404,6.204938774,6.960804275,7.223795741,8.359236947,8.360047714,8.412851172,8.374245733,7.324578557,7.360268051,8.811173009,8.382215655,8.094801704,8.345725914,9.678395346,9.218822141,7.923435524,7.85692988,8.424200893,8.737666864,7.852646736,7.647164367,8.824479632,8.562373933,7.92341724,7.823376953,8.378588058,8.122852387,8.028914541,7.996460272,7.298160356,7.11677712,9.734301101,8.902543814,8.271191612,8.18140144,7.553552914,7.556157925,8.948799266,7.687660032,7.91538807,7.771605907
LMB90_RS00320,7.37729332,7.059695421,8.828563751,9.146798516,6.307767638,7.048183363,6.922077563,6.83932438,8.238826174,7.908110794,8.613131969,8.663299269,9.67129069,9.187431016,9.646334848,9.040803997,9.112028253,7.674188529,7.97780711,7.781843036,7.923626824,7.930257727,8.02390395,7.895757283,8.03307229,8.036534542,8.015310813,8.039732033,8.043630156,8.053453272,8.027121763,8.135665096,8.04466262,7.87312508,8.838500409,7.745881268,8.733517388,8.423700622,8.524241342,8.44003512,8.52410643,8.052835002,8.118146271,7.576491942,7.596871793,8.020005296,7.722854824,8.089377916,8.108350715,7.824382599,7.645326299,7.990431755,7.87741696,8.320496101,7.754184597,8.255301368,8.28139732,8.307401976,8.242504392,8.756284998,8.162472838,8.088716524,8.099709673,6.273325094,5.783044138,6.412575951,6.806961653,8.286027907,8.261189119,8.312812741,8.307904184,8.462080111,8.356885889,8.62567356,8.738613413,6.378992744,6.902485688,6.915114631,7.033790363,8.265220137,8.224966414,8.260255819,8.374334793,7.407262782,7.211122196,8.889309254,8.312735202,8.017743601,8.088377297,9.32516591,8.837278228,7.592671345,7.551345799,8.281734159,8.370274902,7.871650892,7.38960769,8.615517656,8.32723591,7.837106329,7.702773852,8.223253116,8.039263048,7.926830737,8.177820961,7.563744157,7.262658778,9.622673349,8.788119685,8.116175276,8.028173359,7.754220433,7.887390535,8.937226502,7.66335912,7.985487496,8.054374947
LMB90_RS00325,9.64729239,9.77774787,9.400097407,9.746899191,9.970811616,9.933380371,9.984699522,9.805487093,9.702519293,9.84518274,10.23501949,10.20184627,9.909730071,9.798733323,10.03902915,9.715675574,9.726929261,10.39415983,10.5602694,10.45099187,10.59739395,10.25277646,10.35016181,10.28884613,10.38048008,10.6449499,10.62094942,10.6656094,10.630828,9.740745714,9.780955852,9.772548161,9.719695666,9.080720662,10.01860298,9.102669971,10.03278622,10.01407666,10.56964895,10.11308843,10.60969025,10.44592007,10.46470055,9.596305587,9.463577654,9.536603914,9.374248142,10.58118786,10.55962766,9.943071799,10.19115345,9.833436876,9.752780877,9.206081976,8.783388909,10.5098121,10.48115082,10.21304899,10.35882818,9.771968145,9.657046658,10.54054515,10.49859584,9.858135336,9.653761415,9.385140911,9.171240739,10.03772616,9.94924564,10.02833958,10.08374768,10.06090067,9.980654421,10.51379285,10.42889771,9.350725712,9.599186868,8.30728428,8.56768899,10.02189679,10.04161728,10.08260552,10.08384082,9.919031401,9.91230416,10.0872098,9.929286895,9.52055969,9.476031065,9.869877827,9.6081694,9.419987006,9.496951074,9.544186306,9.750957296,10.00559808,9.950498576,10.30071298,10.20690004,10.02658116,9.9712021,9.702750406,9.528875504,9.758032337,9.886558011,9.20543962,9.177515808,10.09161186,9.66359473,8.966700624,8.825660913,9.993099955,9.881361905,9.476864441,8.839301685,9.8885645,9.922854848
LMB90_RS00330,9.342314542,9.927405007,8.766859582,9.082778085,9.166543033,9.243360951,9.349796561,9.158809384,9.484992707,9.68379972,9.794251646,9.713771196,9.604889035,9.744799008,9.390189637,9.429476284,9.413413054,10.36220111,10.57036133,10.37669026,10.54602878,10.16382298,10.25810503,10.1521988,10.29746399,10.3722193,10.31939632,10.3983087,10.35076979,9.123836989,9.270308888,9.125798013,9.317735298,9.505807764,9.731045393,9.581660245,9.733839881,9.611407825,10.13532057,9.589145715,10.14608972,10.55170167,10.39347416,9.365602257,9.21009927,9.64664623,9.590740679,10.28191214,10.0699693,9.778912195,9.987123425,9.914725656,9.862027725,8.788030798,8.795502122,10.19446994,10.08720513,10.02982127,10.10411517,9.829825583,9.631241361,10.8254029,10.82601211,10.26408498,9.924322402,9.391951933,9.343146254,9.658075707,9.702604693,9.757754025,9.763619117,9.77933606,9.710341984,10.19395975,10.21895667,9.137580974,9.083856302,8.612655308,8.841920988,9.810161476,9.820796636,9.912989657,9.937169329,9.635097918,9.640766591,10.10498667,10.17653966,9.70332371,9.798440406,9.830491438,9.802971469,9.444320631,9.423711452,9.894922466,9.910422536,10.15927643,10.27956036,10.09333664,10.15084796,10.28778103,10.14990532,9.934157996,9.803577268,9.745597675,9.715627258,9.989019594,10.09403688,9.871931247,9.756470495,8.783161044,8.638777064,10.18310118,10.126351,9.428037823,9.141135974,9.94053833,9.921311778
LMB90_RS00335,5.659652574,6.059691411,5.018982141,4.102092985,4.737990734,5.372039953,5.60865275,4.713686631,4.944299188,5.837779984,5.404102323,6.068079352,6.083115634,6.206232119,5.157536562,5.936225505,5.631593236,6.758054833,7.005252428,6.557529482,6.751963041,6.593806369,6.262088568,6.744286363,6.735034896,6.800765954,6.658934226,7.020885177,6.886907165,5.487343939,5.844190368,5.401940071,5.834079782,5.127202015,5.753696154,5.320302653,6.033364132,5.933332257,6.392118391,5.921728915,6.415487006,6.732577933,6.999177407,5.280632437,5.434194855,6.050714286,5.823145806,6.208046274,6.395640749,5.836595824,6.163945086,5.498416846,5.744819731,4.541514879,4.374185827,6.349131255,6.405031118,6.242952199,6.40911115,6.282449655,5.858422017,7.049666138,7.014006654,6.022526488,5.30678649,4.635030051,6.080403169,6.120541569,5.779887061,5.925405625,6.234606796,6.091913645,6.162259328,7.130774024,7.230528592,6.168679208,5.261188144,5.461677226,5.8424938,6.360093989,6.195948335,6.241560195,6.392945926,5.797088807,5.382568993,6.855098653,6.545307129,5.535105057,6.063684075,6.34230715,6.134565516,5.635217597,5.701186758,6.436914022,6.137136797,6.739641156,6.982452849,6.215393993,6.828028396,6.731901551,6.45294286,6.696235798,6.434598516,6.273889944,6.309956423,7.011147419,7.110624138,6.232510666,6.276837022,4.991153441,5.348220866,6.885358881,6.299058515,6.078858926,5.918537645,6.666450749,6.296118852
LMB90_RS00340,7.256909317,6.706404512,5.956990395,6.400593471,6.537994926,6.622647625,6.995168621,6.558469767,7.288188625,6.474274391,7.032435956,6.643802696,7.255295585,6.99806667,6.110550215,7.404363853,7.241951855,7.066468549,7.473426479,7.37716721,7.638467135,8.009854448,7.958400285,8.023656448,7.996316268,8.005889504,7.971426965,7.990973053,8.214061149,6.990206988,6.92183921,6.676489637,6.760961777,5.150443939,6.992438968,5.409127993,6.430611459,7.309917817,7.643033782,7.175971106,7.709078018,7.748728922,7.657277575,6.328518632,6.010183133,7.026817785,6.932750142,7.717642721,7.311439191,7.314608882,6.920643203,6.553512074,6.389596777,5.476472444,5.09958691,7.670935094,7.668740596,7.17125998,7.556342742,7.648343907,7.069456408,8.403071568,8.00146877,6.575884271,5.533744589,6.080596315,6.580154056,6.91841648,6.714262502,6.754814886,6.903419147,7.042649056,7.019531801,6.569144399,6.980957473,3.331561801,5.720246126,5.881317526,5.962514602,7.055777695,6.928157006,6.775934022,7.04460864,6.44723099,6.355796867,7.009291953,6.981006059,6.669232755,7.295447103,6.919273327,7.112621385,7.053605356,7.247677719,6.995042287,7.247426564,6.937083041,7.734705277,7.119944874,7.270526329,7.241936901,7.422637926,7.030127788,6.377354114,6.611532483,7.008649232,7.434057281,7.45992738,6.811893171,7.239669796,5.244588061,5.210717794,7.491339449,7.301657738,6.24993577,6.352619035,6.629699613,6.840750206
