Sample	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed
LAC_001	5819447	2095909	891700	1760845	0	0	0	0	97265	0	0	0	0	887028	51033	35667	36.015604231811025	5819447.0	4058602.0	69.74	1760845.0	30.26	LAC_001_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5819447.0	0.0	20-51	42.0	15.411343647579848	50.29887805490797	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5824117	1826042	5824117	297029967	121298	293748857	1.1046393847527174	0.0173	0.6367	0.3461
LAC_002	5689890	2030964	1006740	1654434	0	0	0	0	74206	0	0	0	0	837550	42781	43215	35.694257709727246	5689890.0	4035456.0	70.92	1654434.0	29.08	LAC_002_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5689890.0	0.0	20-51	43.0	16.62857235003161	50.37199471343031	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5694537	2228974	5694537	290421387	379508	286665367	1.2933000695296593	0.0117	0.6984	0.2899
LAC_003	4579695	1119254	1067661	1348936	0	0	0	0	54153	0	0	0	0	939928	28601	21162	24.43948778248333	4579695.0	3230759.0	70.55	1348936.0	29.45	LAC_003_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4579695.0	0.0	20-51	44.0	12.80825348400691	50.34343531610729	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	4584282	1319550	4584282	233798382	110075	231496819	0.9844221248716768	0.0173	0.6139	0.3688
LAC_004	5126930	1356952	906962	1567260	0	0	0	0	65145	0	0	0	0	1162146	35728	32737	26.467145055618076	5126930.0	3559670.0	69.43	1567260.0	30.57	LAC_004_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5126930.0	0.0	20-51	42.0	13.09403708245152	50.48484375640003	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	5131192	1545051	5131192	261690792	115171	259040334	1.0128205045900125	0.017	0.6046	0.3784
LAC_005	6501384	2882733	872126	2031554	0	0	0	0	34463	0	0	0	0	565208	56760	58540	44.34029738898671	6501384.0	4469830.0	68.75	2031554.0	31.25	LAC_005_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6501384.0	0.0	20-51	41.0	16.306171819905092	50.407398947670224	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	6511445	2639895	6511445	332083695	617392	327842476	1.27715364043995	0.011000000000000001	0.7241	0.2649
LAC_006	4411984	1829780	515485	1484243	0	0	0	0	32647	0	0	0	0	465137	45932	38760	41.472951851139996	4411984.0	2927741.0	66.36	1484243.0	33.64	LAC_006_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4411984.0	0.0	20-51	42.0	18.207554030435663	50.40463564691078	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	4417490	1389290	4417490	225291990	124888	223232503	0.9141412439918524	0.0156	0.6826	0.3018
LAC_007	6998861	2257275	1606953	1816363	0	0	0	0	77675	0	0	0	0	1146547	49566	44482	32.252033580892665	6998861.0	5182498.0	74.05	1816363.0	25.95	LAC_007_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6998861.0	0.0	20-51	43.0	14.82606599568591	50.53224817581032	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	7007670	2796865	7007670	357391170	601417	352569781	1.3490509572466494	0.0129	0.7192	0.2679
LAC_008	6053630	2231222	999383	1657588	0	0	0	0	45241	0	0	0	0	1028621	48923	42652	36.8575879265829	6053630.0	4396042.0	72.62	1657588.0	27.38	LAC_008_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	6053630.0	0.0	20-51	42.0	15.747605419205742	50.54570200028743	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	6058986	2277173	6058986	309008286	410595	305407559	1.1652525719002886	0.0114	0.6731	0.3154
LAC_009	5081932	1815749	648489	1772187	0	0	0	0	29014	0	0	0	0	763372	35262	17859	35.72950208700156	5081932.0	3309745.0	65.13	1772187.0	34.87	LAC_009_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5081932.0	0.0	20-51	42.0	15.85939893707235	50.39370892802186	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	5087812	1617173	5087812	259478412	157613	256977628	0.9637734332981812	0.0155	0.6353	0.3492
LAC_010	5778993	2196434	466650	2187449	0	0	0	0	49918	0	0	0	0	783157	52612	42773	38.00720990663945	5778993.0	3591544.0	62.15	2187449.0	37.85	LAC_010_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5778993.0	0.0	20-51	41.0	16.030348609066042	50.51331001785259	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass	5783283	1956719	5783283	294947433	123097	292124405	0.957129198001869	0.0149	0.6155	0.3696
