Gene;start;end;strand;gene_name;operon;COG;accession
LMB90_RS00435;1;851;-;LMB90_RS00435;Op8;Energy Production & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00470;5573;6991;-;LMB90_RS00470;Op171;Energy Production & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00535;19696;21051;-;LMB90_RS00535;Op538;Energy Production & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00640;40217;41149;#ERROR!;LMB90_RS00640;Op957;Energy Production & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS00705;54435;55697;#ERROR!;LMB90_RS00705;Op1193;Energy Production & Conversion;NZ_JAJGVJ010000030.1
LMB90_RS01275;15487;16176;-;narI;Op440;Energy Production & Conversion;NZ_JAJGVJ010000039.1
LMB90_RS01280;16169;16747;-;narJ;Op458;Energy Production & Conversion;NZ_JAJGVJ010000039.1
LMB90_RS01285;16740;18299;-;narH;Op473;Energy Production & Conversion;NZ_JAJGVJ010000039.1
LMB90_RS01290;18289;21954;-;LMB90_RS01290;Op509;Energy Production & Conversion;NZ_JAJGVJ010000039.1
LMB90_RS01525;22484;23884;#ERROR!;nhaC;Op594;Energy Production & Conversion;NZ_JAJGVJ010000044.1
LMB90_RS01775;29323;29799;-;LMB90_RS01775;Op735;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS01785;30772;31662;#ERROR!;LMB90_RS01785;Op764;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS01935;61381;62427;#ERROR!;fni;Op1294;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS01960;67469;68443;-;LMB90_RS01960;Op1386;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02025;79836;80297;-;LMB90_RS02025;Op1559;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02130;101214;102365;-;LMB90_RS02130;Op1766;Energy Production & Conversion;NZ_JAJGVJ010000045.1
LMB90_RS02330;23604;24776;#ERROR!;LMB90_RS02330;Op627;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02350;27889;29262;#ERROR!;LMB90_RS02350;Op703;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02395;38447;39442;-;LMB90_RS02395;Op926;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02500;71728;72594;#ERROR!;LMB90_RS02500;Op1450;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02505;72732;74519;#ERROR!;LMB90_RS02505;Op1467;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02515;75339;76688;#ERROR!;LMB90_RS02515;Op1501;Energy Production & Conversion;NZ_JAJGVJ010000046.1
LMB90_RS02775;5310;6698;#ERROR!;LMB90_RS02775;Op165;Energy Production & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02780;6820;8214;#ERROR!;LMB90_RS02780;Op201;Energy Production & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02785;8287;9708;#ERROR!;LMB90_RS02785;Op244;Energy Production & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS02980;42137;43165;#ERROR!;adhP;Op987;Energy Production & Conversion;NZ_JAJGVJ010000050.1
LMB90_RS03445;37316;38392;#ERROR!;LMB90_RS03445;Op903;Energy Production & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03450;38587;39546;-;LMB90_RS03450;Op928;Energy Production & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03790;111153;112088;#ERROR!;LMB90_RS03790;Op1825;Energy Production & Conversion;NZ_JAJGVJ010000051.1
LMB90_RS03870;3002;3652;#ERROR!;LMB90_RS03870;Op103;Energy Production & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS04065;42267;44903;#ERROR!;adhE;Op990;Energy Production & Conversion;NZ_JAJGVJ010000052.1
LMB90_RS04100;5090;5575;-;LMB90_RS04100;Op156;Energy Production & Conversion;NZ_JAJGVJ010000053.1
LMB90_RS04255;13559;15046;-;LMB90_RS04255;Op395;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04260;15047;15850;-;LMB90_RS04260;Op428;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04265;16111;17043;#ERROR!;trxB;Op455;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04405;49705;50679;#ERROR!;pta;Op1118;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04775;132624;133331;#ERROR!;atpB;Op1918;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04780;133356;133574;#ERROR!;atpE;Op1920;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04785;133617;134135;#ERROR!;atpF;Op1922;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04790;134125;134667;#ERROR!;LMB90_RS04790;Op1924;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04795;134698;136227;#ERROR!;atpA;Op1926;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04800;136263;137207;#ERROR!;LMB90_RS04800;Op1929;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04805;137234;138661;#ERROR!;atpD;Op1932;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS04810;138673;139104;#ERROR!;LMB90_RS04810;Op1935;Energy Production & Conversion;NZ_JAJGVJ010000055.1
LMB90_RS05335;16013;17311;#ERROR!;preA;Op453;Energy Production & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05525;48146;49084;-;LMB90_RS05525;Op1092;Energy Production & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05610;69546;70526;-;LMB90_RS05610;Op1416;Energy Production & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05625;72171;72491;#ERROR!;LMB90_RS05625;Op1456;Energy Production & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS05775;98392;98667;-;LMB90_RS05775;Op1740;Energy Production & Conversion;NZ_JAJGVJ010000058.1
LMB90_RS06065;54307;55521;-;LMB90_RS06065;Op1189;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06070;55575;57320;-;cydC;Op1208;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06075;57313;59043;-;cydD;Op1235;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06080;59050;60066;-;cydB;Op1261;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06085;60067;61485;-;LMB90_RS06085;Op1273;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06140;78094;79425;-;frc;Op1539;Energy Production & Conversion;NZ_JAJGVJ010000059.1
LMB90_RS06365;19057;20163;#ERROR!;pdhA;Op524;Energy Production & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06370;20166;21143;#ERROR!;LMB90_RS06370;Op548;Energy Production & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06375;21175;22509;#ERROR!;LMB90_RS06375;Op568;Energy Production & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06380;22513;23940;#ERROR!;lpdA;Op596;Energy Production & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06670;73494;74486;#ERROR!;LMB90_RS06670;Op1479;Energy Production & Conversion;NZ_JAJGVJ010000060.1
LMB90_RS06870;1557;2300;-;LMB90_RS06870;Op59;Energy Production & Conversion;NZ_JAJGVJ010000061.1
LMB90_RS07015;17861;19693;#ERROR!;LMB90_RS07015;Op497;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07135;45160;45573;-;LMB90_RS07135;Op1045;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07205;58857;60209;-;LMB90_RS07205;Op1258;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07355;93528;93776;#ERROR!;LMB90_RS07355;Op1697;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07390;102135;103004;-;LMB90_RS07390;Op1772;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07395;103215;105311;#ERROR!;LMB90_RS07395;Op1779;Energy Production & Conversion;NZ_JAJGVJ010000062.1
LMB90_RS07485;2202;3704;#ERROR!;LMB90_RS07485;Op81;Energy Production & Conversion;NZ_JAJGVJ010000063.1
LMB90_RS08125;82338;85217;#ERROR!;LMB90_RS08125;Op1587;Energy Production & Conversion;NZ_JAJGVJ010000064.1
LMB90_RS08745;68883;69755;#ERROR!;LMB90_RS08745;Op1406;Energy Production & Conversion;NZ_JAJGVJ010000066.1
LMB90_RS08815;84034;85467;#ERROR!;LMB90_RS08815;Op1605;Energy Production & Conversion;NZ_JAJGVJ010000066.1
LMB90_RS09480;13417;14382;-;manA;Op391;Energy Production & Conversion;NZ_JAJGVJ010000068.1
LMB90_RS09625;39930;41273;#ERROR!;LMB90_RS09625;Op950;Energy Production & Conversion;NZ_JAJGVJ010000068.1
LMB90_RS09770;140;1369;-;LMB90_RS09770;Op29;Energy Production & Conversion;NZ_JAJGVJ010000069.1
